A00;Colera
Y10;Avvelenamento da ed esposizione ad analgesici non narcotici antipiretici e antireumatici intento indeterminato
Y11;Avvelenamento da ed esposizione ad antiepilettici ipnotico-sedativi farmaci antiparkinsoniani e psicotropi non classificati altrove intento indeterminato
Y12;Avvelenamento da ed esposizione a narcotici e psicodislettici [allucinogeni] non classificati altrove intento indeterminato
Y13;Avvelenamento da ed esposizione ad altri farmaci agenti sul sistema nervoso autonomo intento indeterminato
Y14;Avvelenamento da ed esposizione ad altri e non specificati farmaci medicamenti e sostanze biologiche intento indeterminato
Y15;Avvelenamento da ed esposizione ad alcol intento indeterminato
Y16;Avvelenamento da ed esposizione a solventi organici e idrocarburi alogenati e a loro vapori intento indeterminato
Y17;Avvelenamento da ed esposizione ad altri gas e vapori intento indeterminato
Y18;Avvelenamento da ed esposizione a pesticidi intento indeterminato
Y19;Avvelenamento da ed esposizione ad altre e non specificate sostanze chimiche e nocive intento indeterminato
Y20;Impiccagione strangolamento e soffocamento intento indeterminato
Y21;Annegamento e sommersione intento indeterminato
Y22;Scarica di pistola intento indeterminato
Y23;Scarica di carabina fucile automatico ed armi più grosse intento indeterminato
Y24;Scarica di altra e non specificata arma da fuoco intento indeterminato
Y25;Contatto con materiale esplosivo intento indeterminato
Y26;Esposizione a fumo fuoco e fiamme intento indeterminato
Y27;Contatto con vapore(i) ed oggetti molto caldi intento indeterminato
Y28;Contatto con oggetto appuntito intento indeterminato
Y29;Contatto con corpo contundente intento indeterminato
Y30;Caduta salto o spinta da luogo elevato intento indeterminato
Y31;Caduta posizionamento o corsa davanti a o in oggetto in movimento intento indeterminato
Y32;Incidente di veicolo a motore intento indeterminato
Y33;Altri eventi specificati intento indeterminato
Y34;Evento non specificato intento indeterminato
Y35;Intervento della forza pubblica
Y36;Operazioni di guerra
Y40;Antibiotici sistemici
Y41;Altri farmaci anti-infettivi ed antiparassitari sistemici
Y42;Ormoni e loro sostitutivi sintetici ed antagonisti non classificati altrove
Y43;Agenti principalmente sistemici
Y44;Farmaci agenti principalmente sui costituenti del sangue
Y45;Farmaci analgesici antipiretici ed antiinflammatori
Y46;Farmaci antiepilettici ed antiparkinsoniani
Y47;Farmaci sedativi ipnotici e ansiolitici
Y48;Anestetici e gas terapeutici
Y49;Farmaci psicotropi non classificati altrove
Y50;Stimolanti del sistema nervoso centrale non classificati altrove
Y51;Farmaci agenti principalmente sul sistema nervoso autonomo
Y52;Agenti attivi principalmente sul sistema cardiovascolare
Y53;Agenti attivi principalmente sull'apparato gastrointestinale
Y54;Agenti attivi principalmente sull'equilibrio idrico sul metabolismo dei minerali e dell'acido urico
Y55;Agenti attivi principalmente sulla muscolatura liscia e striata e sull'apparato respiratorio
Y56;Agenti topici attivi principalmente sulla cute e sulle mucose farmaci ad uso oftalmologico otorinolaringologico ed odontoiatrico
Y57;Altri e non specificati farmaci e medicamenti
Y58;Vaccini batterici
Y59;Altri e non specificati vaccini e sostanze biologiche
Y60;Taglio puntura perforazione o emorragia non intenzionali in corso di assistenza chirurgica o medica
Y61;Corpo estraneo accidentalmente lasciato nel corpo in corso di assistenza chirurgica e medica
Y62;Insufficienza delle precauzioni di sterilizzazione in corso di assistenza chirurgica e medica
Y63;Errore di dosaggio in corso di assistenza chirurgica e medica
Y64;Sostanze mediche o biologiche contaminate
Y65;Altri infortuni in corso di assistenza chirurgica e medica
Y66;Mancata assistenza chirurgica e medica
Y69;Infortunio non specificato in corso di assistenza chirurgica e medica
Y70;Dispositivi anestesiologici associati con incidenti (avversi)
Y71;Dispositivi cardiologici associati con incidenti (avversi)
Y72;Dispositivi otorinolaringoiatrici associati con incidenti (avversi)
Y73;Dispositivi gastroenterologici e urologici associati con incidenti (avversi)
Y74;Dispositivi di ospedale generale e di uso personale associati con incidenti (avversi)
Y75;Dispositivi neurologici associati con incidenti (avversi)
Y76;Dispositivi ostetrici e ginecologici associati con incidenti (avversi)
Y77;Dispositivi oftalmici associati con incidenti (avversi)
Y78;Dispositivi radiologici associati con incidenti (avversi)
Y79;Dispositivi ortopedici associati con incidenti (avversi)
Y80;Dispositivi per medicina fisica associati con incidenti (avversi)
Y81;Dispositivi per chirurgia generale e plastica associati con incidenti (avversi)
Y82;Altri e non specificati dispositivi medici associati con incidenti (avversi)
Y83;Intervento chirurgico ed altre procedure chirurgiche come causa di reazione anomala del paziente o di complicanza tardiva senza menzione di infortunio all'epoca dell'intervento
Y84;Altri interventi medici come causa di reazione anomala del paziente o di complicanza tardiva senza menzione di infortunio all'epoca dell'intervento
Y85;Sequele di accidenti da trasporto
Y86;Sequele di altri accidenti
Y87;Sequele di autolesione intenzionale aggressione ed eventi di intento indeterminato
Y88;Sequele di assistenza chirurgica e medica come causa esterna
Y89;Sequele di altre cause esterne
Y90;Prova del ruolo dell'alcol confermata dal tasso di alcolemia
Y91;Prova del ruolo dell'alcol confermata dal grado di intossicazione
Y95;Condizione nosocomiale
Y96;Condizione associata al lavoro
Y97;Condizione associata all'inquinamento ambientale
Y98;Condizione associata allo stile di vita
Z00;Visita medica generale ed analisi di persone asintomatiche o per le quali non viene riportata alcuna diagnosi
Z01;Altre visite mediche specialistiche ed esami di soggetti asintomatici o per i quali non viene riportata alcuna diagnosi
Z02;Visite mediche e ricorso ai servizi sanitari per scopi amministrativi
Z03;Osservazione ed esame per sospetto di malattie e condizioni
Z04;Esame ed osservazione per altre ragioni
Z08;Visita medica di controllo dopo trattamento per tumore maligno
Z09;Visita medica di controllo dopo trattamento per condizioni morbose diverse da tumore maligno
Z10;Check-up sanitario generale di routine di sottopopolazione definita
Z11;Esami speciali di screening per malattie infettive e parassitarie
Z12;Esami speciali di screening per tumori
Z13;Esami speciali di screening per altre malattie e condizioni morbose
Z20;Contatto con o esposizione a malattie trasmissibili
Z21;Stato di infezione asintomatica da virus dell’immunodeficienza umana [HIV]
Z22;Portatore di malattia infettiva
Z23;Necessità di vaccinazione contro singola malattia batterica
Z24;Necessità di vaccinazione contro alcune singole malattie virali
Z25;Necessità di vaccinazione contro altra singola malattia virale
Z26;Necessità di vaccinazione contro altre singole malattie infettive
Z27;Necessità di vaccinazioni miste contro più malattie infettive
Z28;Vaccinazione non eseguita
Z29;Necessità di altre misure profilattiche
Z30;Misure contraccettive
Z31;Misure procreative
Z32;Esame e test per diagnosi di gravidanza
Z33;Gravidanza come reperto casuale
Z34;Controllo di gravidanza normale
Z35;Controllo di gravidanza ad alto rischio
Z36;Screening prenatale
Z37;Esito del parto
Z38;Nati vivi secondo il luogo di nascita
Z39;Assistenza e visita postparto
Z40;Interventi chirurgici per profilassi
Z41;Procedure per scopi diversi da quelli di recupero dello stato di salute
Z42;Cure di controllo richiedenti l’impiego di chirurgia plastica
Z43;Controllo di aperture artificiali [stomie]
Z44;Applicazione e sistemazione di dispositivi protesici esterni
Z45;Applicazione e manutenzione di dispositivi protesici interni
Z46;Applicazione e sistemazione di altri dispositivi
Z47;Altri trattamenti ortopedici di follow-up
Z48;Altri trattamenti chirurgici di follow-up
Z49;Trattamento richiedente dialisi
Z50;Trattamenti implicanti l’uso di tecniche riabilitative
Z51;Altri trattamenti medici
Z52;Donatori di organi e tessuti
Z53;Persone che ricorrono ai servizi sanitari per atti medici non eseguiti
Z54;Convalescenza
Z55;Problemi legati all’alfabetizzazione ed all’educazione
Z56;Problemi legati al lavoro o alla disoccupazione
Z57;Esposizione professionale a fattori di rischio
Z58;Problemi legati ad ambiente fisico
Z59;Problemi legati all’abitazione e alle condizioni economiche
Z60;Problemi legati all’ambiente sociale
Z61;Problemi legati ad un evento negativo della vita durante l’infanzia
Z62;Altri problemi connessi all’educazione del bambino
Z63;Altri problemi connessi alla cerchia relazionale ristretta compreso l’ambiente familiare
Z64;Problemi correlati a talune circostanze psicosociali
Z65;Problemi legati ad altre situazioni psicosociali
Z70;Consigli connessi all’atteggiamento comportamento ed orientamento in materia di sessualità
Z71;Persone che ricorrono ai servizi sanitari per altri consigli od avvisi medici non classificati altrove
Z72;Problemi connessi allo stile di vita
Z73;Problemi connessi a difficoltà di orientamento del proprio modo di vita
Z74;Problemi connessi a dipendenza da persona che presta le cure
Z75;Problemi connessi a servizi sanitari e altre forme di assistenza
Z76;Persone che ricorrono ai servizi sanitari in altre circostanze
Z80;Anamnesi familiare positiva per tumore maligno
Z81;Anamnesi familiare positiva per disturbi psichici e comportamentali
Z82;Anamnesi familiare positiva per talune disabilità e malattie croniche invalidanti
Z83;Anamnesi familiare positiva per altri disturbi specificati
Z84;Anamnesi familiare positiva di altre condizioni patologiche
Z85;Anamnesi personale di tumore maligno
Z86;Anamnesi personale positiva per talune altre malattie
Z87;Anamnesi personale positiva per altre malattie e condizioni morbose
Z88;Anamnesi personale positiva per allergie a farmaci medicamenti e sostanze
bio;ogiche
Z89;Mancanza acquisita di un arto
Z90;Mancanza acquisita di organi non classificata altrove
Z91;Anamnesi personale positiva per fattori di rischio non classificati altrove
Z92;Anamnesi personale positiva per trattamento medico
Z93;Presenza di aperture artificiali [stomie]
Z94;Presenza di trapianto di organo o tessuto
Z95;Portatore di impianto o innesto cardiaco o vascolare
Z96;Presenza di altri impianti funzionali
Z97;Presenza di altri apparecchi
Z98;Altri stati post-chirurgici
Z99;Dipendenza da macchine o apparecchi non classificati altrove
